hour	value
462514	69
462515	61
462516	56
462517	49
462518	53
462519	53
462520	54
462521	48
462522	55
462523	66
462524	72
462525	87
462526	103
462527	112
462528	126
462529	136
462530	123
462531	134
462532	127
462533	130
462534	124
462535	116
462536	110
462537	100
462538	79
462539	72
462540	64
462541	57
462542	56
462543	54
462544	58
462545	59
462546	65
462547	69
462548	78
462549	98
462550	118
462551	119
462552	123
462553	136
462554	145
462555	136
462556	126
462557	121
462558	131
462559	120
462560	113
462561	104
462562	80
462563	68
462564	60
462565	56
462566	54
462567	57
462568	56
462569	53
462570	59
462571	69
462572	86
462573	99
462574	117
462575	126
462576	134
462577	128
462578	140
462579	139
462580	123
462581	129
462582	132
462583	117
462584	105
462585	102
462586	77
462587	72
462588	65
462589	57
462590	57
462591	53
462592	52
462593	52
462594	60
462595	64
462596	80
462597	92
462598	113
462599	127
462600	131
462601	123
462602	125
462603	129
462604	125
462605	127
462606	116
462607	116
462608	113
462609	100
462610	76
462611	65
462612	60
462613	53
462614	52
462615	50
462616	50
462617	56
462618	61
462619	63
462620	78
462621	94
462622	114
462623	110
462624	117
462625	121
462626	123
462627	119
462628	124
462629	124
462630	121
462631	102
462632	97
462633	91
462634	70
462635	62
462636	57
462637	50
462638	46
462639	51
462640	48
462641	49
462642	55
462643	60
462644	77
462645	82
462646	108
462647	114
462648	112
462649	127
462650	129
462651	127
462652	119
462653	110
462654	107
462655	102
462656	102
462657	95
462658	69
462659	69
462660	54
462661	50
462662	48
462663	52
462664	52
462665	48
462666	52
462667	64
462668	71
462669	86
462670	104
462671	111
462672	119
462673	119
462674	123
462675	119
462676	125
462677	113
462678	108
462679	103
462680	99
462681	90
462682	70
462683	63
462684	53
462685	50
462686	52
462687	53
462688	49
462689	48
462690	55
462691	65
462692	72
462693	84
462694	110
462695	121
462696	121
462697	128
462698	136
462699	130
462700	119
462701	118
462702	119
462703	118
462704	103
462705	103
462706	81
462707	73
462708	63
462709	55
462710	58
462711	52
462712	53
462713	53
462714	58
462715	69
462716	82
462717	96
462718	119
462719	130
462720	133
462721	134
462722	136
462723	139
462724	122
462725	130
462726	120
462727	116
462728	107
462729	94
462730	83
462731	73
462732	63
462733	51
462734	54
462735	52
462736	51
462737	54
462738	58
462739	71
462740	80
462741	89
462742	112
462743	119
462744	124
462745	137
462746	140
462747	133
462748	135
462749	123
462750	126
462751	114
462752	102
462753	97
462754	80
462755	67
462756	64
462757	52
462758	54
462759	52
462760	55
462761	52
462762	63
462763	63
462764	78
462765	89
462766	111
462767	123
462768	128
462769	126
462770	127
462771	127
462772	132
462773	128
462774	110
462775	113
462776	97
462777	99
462778	71
462779	68
462780	61
462781	51
462782	53
462783	49
462784	50
462785	54
462786	55
462787	58
462788	77
462789	90
462790	108
462791	114
462792	118
462793	118
462794	115
462795	114
462796	116
462797	116
462798	116
462799	99
462800	96
462801	87
462802	72
462803	60
462804	55
462805	46
462806	50
462807	46
462808	45
462809	50
462810	52
462811	59
462812	75
462813	82
462814	107
462815	110
462816	117
462817	113
462818	124
462819	120
462820	122
462821	114
462822	103
462823	99
462824	93
462825	84
462826	72
462827	66
462828	53
462829	50
462830	50
462831	47
462832	51
462833	48
462834	51
462835	61
462836	69
462837	81
462838	95
462839	113
462840	117
462841	110
462842	117
462843	112
462844	114
462845	118
462846	107
462847	103
462848	95
462849	88
462850	65
462851	62
462852	52
462853	46
462854	47
462855	51
462856	49
462857	52
462858	52
462859	61
462860	69
462861	86
462862	99
462863	117
462864	110
462865	123
462866	125
462867	127
462868	120
462869	114
462870	121
462871	115
462872	99
462873	97
462874	78
462875	66
462876	62
462877	53
462878	53
462879	50
462880	53
462881	51
462882	58
462883	63
462884	76
462885	97
462886	112
462887	114
462888	120
462889	121
462890	125
462891	127
462892	127
462893	128
462894	111
462895	111
462896	108
462897	96
462898	74
462899	67
462900	62
462901	54
462902	54
462903	49
462904	50
462905	52
462906	60
462907	68
462908	77
462909	89
462910	112
462911	121
462912	126
462913	128
462914	128
462915	117
462916	120
462917	126
462918	112
462919	114
462920	98
462921	91
462922	78
462923	63
462924	55
462925	52
462926	53
462927	54
462928	53
462929	52
462930	55
462931	64
462932	72
462933	84
462934	110
462935	108
462936	118
462937	124
462938	122
462939	118
462940	114
462941	123
462942	106
462943	109
462944	102
462945	94
462946	75
462947	65
462948	59
462949	49
462950	50
462951	47
462952	50
462953	48
462954	53
462955	58
462956	68
462957	82
462958	108
462959	102
462960	114
462961	121
462962	116
462963	108
462964	114
462965	108
462966	112
462967	103
462968	96
462969	80
462970	67
462971	61
462972	53
462973	44
462974	48
462975	43
462976	44
462977	46
462978	52
462979	54
462980	68
462981	80
462982	101
462983	98
462984	108
462985	114
462986	107
462987	117
462988	112
462989	102
462990	100
462991	99
462992	88
462993	81
462994	70
462995	60
462996	50
462997	46
462998	44
462999	46
463000	44
463001	44
463002	54
463003	60
463004	65
463005	77
463006	95
463007	105
463008	107
463009	119
463010	115
463011	118
463012	108
463013	109
463014	106
463015	98
463016	86
463017	84
463018	68
463019	61
463020	54
463021	43
463022	48
463023	45
463024	45
463025	45
463026	52
463027	56
463028	64
463029	83
463030	97
463031	110
463032	115
463033	123
463034	112
463035	120
463036	116
463037	113
463038	115
463039	105
463040	93
463041	87
463042	71
463043	64
463044	59
463045	49
463046	53
463047	52
463048	48
463049	51
463050	54
463051	59
463052	78
463053	91
463054	98
463055	112
463056	124
463057	115
463058	127
463059	121
463060	115
463061	106
463062	111
463063	110
463064	102
463065	93
463066	74
463067	66
463068	58
463069	50
463070	50
463071	46
463072	46
463073	50
463074	52
463075	63
463076	70
463077	81
463078	97
463079	115
463080	116
463081	114
463082	122
463083	114
463084	114
463085	109
463086	105
463087	99
463088	98
463089	85
463090	69
463091	61
463092	54
463093	49
463094	50
463095	46
463096	44
463097	44
463098	54
463099	59
463100	68
463101	80
463102	93
463103	98
463104	101
463105	110
463106	111
463107	113
463108	112
463109	109
463110	101
463111	91
463112	91
463113	79
463114	61
463115	59
463116	50
463117	46
463118	45
463119	42
463120	46
463121	44
463122	46
463123	57
463124	61
463125	73
463126	89
463127	101
463128	97
463129	110
463130	105
463131	105
463132	106
463133	91
463134	101
463135	85
463136	86
463137	73
463138	60
463139	54
463140	48
463141	43
463142	40
463143	43
463144	43
463145	40
463146	47
463147	52
463148	58
463149	72
463150	87
463151	96
463152	92
463153	100
463154	106
463155	94
463156	99
463157	99
463158	95
463159	87
463160	78
463161	71
463162	60
463163	53
463164	45
463165	41
463166	41
463167	42
463168	39
463169	42
463170	47
463171	47
463172	59
463173	70
463174	82
463175	89
463176	94
463177	99
463178	93
463179	99
463180	91
463181	93
463182	87
463183	82
463184	83
463185	68
463186	60
463187	53
463188	42
463189	37
463190	40
463191	38
463192	38
463193	41
463194	46
463195	51
463196	59
463197	72
463198	83
463199	95
463200	95
463201	103
463202	98
463203	98
463204	103
463205	97
463206	92
463207	97
463208	82
463209	76
463210	68
463211	57
463212	54
463213	46
463214	43
463215	44
463216	46
463217	46
463218	51
463219	51
463220	65
463221	78
463222	95
463223	102
463224	104
463225	106
463226	112
463227	106
463228	103
463229	104
463230	106
463231	98
463232	93
463233	85
463234	66
463235	58
463236	53
463237	42
463238	42
463239	44
463240	46
463241	48
463242	48
463243	53
463244	62
463245	78
463246	96
463247	95
463248	104
463249	104
463250	116
463251	114
463252	103
463253	97
463254	97
463255	94
463256	93
463257	83
463258	60
463259	55
463260	53
463261	46
463262	47
463263	43
463264	47
463265	43
463266	49
463267	55
463268	65
463269	74
463270	93
463271	95
463272	101
463273	106
463274	106
463275	113
463276	101
463277	97
463278	97
463279	89
463280	90
463281	78
463282	63
463283	61
463284	53
463285	42
463286	44
463287	41
463288	42
463289	44
463290	50
463291	54
463292	66
463293	77
463294	90
463295	97
463296	106
463297	97
463298	99
463299	103
463300	104
463301	92
463302	98
463303	88
463304	87
463305	77
463306	58
463307	53
463308	50
463309	43
463310	39
463311	42
463312	40
463313	42
463314	45
463315	54
463316	65
463317	70
463318	84
463319	91
463320	101
463321	107
463322	97
463323	105
463324	95
463325	102
463326	91
463327	85
463328	88
463329	74
463330	61
463331	56
463332	51
463333	42
463334	45
463335	43
463336	42
463337	43
463338	48
463339	55
463340	66
463341	76
463342	88
463343	92
463344	105
463345	109
463346	103
463347	109
463348	107
463349	93
463350	94
463351	97
463352	81
463353	76
463354	61
463355	52
463356	47
463357	44
463358	45
463359	40
463360	42
463361	45
463362	47
463363	55
463364	67
463365	78
463366	95
463367	107
463368	101
463369	106
463370	119
463371	111
463372	108
463373	115
463374	104
463375	102
463376	97
463377	86
463378	68
463379	64
463380	60
463381	46
463382	48
463383	51
463384	52
463385	53
463386	55
463387	58
463388	71
463389	84
463390	107
463391	114
463392	117
463393	112
463394	125
463395	120
463396	119
463397	122
463398	108
463399	99
463400	100
463401	90
463402	73
463403	65
463404	55
463405	49
463406	53
463407	50
463408	49
463409	51
463410	53
463411	62
463412	73
463413	86
463414	102
463415	118
463416	114
463417	115
463418	123
463419	119
463420	119
463421	111
463422	121
463423	103
463424	98
463425	93
463426	75
463427	67
463428	58
463429	53
463430	51
463431	49
463432	48
463433	51
463434	59
463435	65
463436	74
463437	87
463438	104
463439	107
463440	114
463441	124
463442	119
463443	128
463444	119
463445	109
463446	116
463447	112
463448	102
463449	93
463450	76
463451	68
463452	60
463453	51
463454	51
463455	50
463456	51
463457	51
463458	52
463459	59
463460	72
463461	84
463462	103
463463	118
463464	113
463465	119
463466	122
463467	123
463468	118
463469	112
463470	103
463471	107
463472	92
463473	85
463474	70
463475	64
463476	54
463477	48
463478	46
463479	51
463480	48
463481	47
463482	52
463483	61
463484	73
463485	82
463486	105
463487	104
463488	121
463489	112
463490	119
463491	125
463492	117
463493	120
463494	106
463495	107
463496	94
463497	86
463498	74
463499	66
463500	58
463501	51
463502	48
463503	53
463504	50
463505	48
463506	54
463507	61
463508	75
463509	87
463510	106
463511	106
463512	114
463513	118
463514	132
463515	117
463516	119
463517	123
463518	120
463519	112
463520	96
463521	92
463522	69
463523	68
463524	60
463525	53
463526	47
463527	48
463528	51
463529	51
463530	57
463531	62
463532	82
463533	98
463534	109
463535	126
463536	126
463537	140
463538	141
463539	133
463540	132
463541	124
463542	132
463543	130
463544	111
463545	105
